number,size,type,gate_in,gate_out,storage_duration,buyingStorage,sellingStorage
MSMU1828249,20,DV,2024-07-11,2024-08-02,22,115.5,303.0
GATU1367957,20,DV,2024-07-05,2024-07-11,6,10.0,27.0
FFAU2342854,40,HC,2024-07-10,2024-07-10,0,0.0,0.0
MSMU8911000,40,HC,2024-07-10,2024-07-10,0,0.0,0.0
CLHU8705663,40,HC,2024-07-10,2024-07-10,0,0.0,0.0
TGBU3962282,20,DV,2024-07-18,2024-08-05,18,67.5,135.0
MSMU2061887,20,DV,2024-07-19,2024-08-05,17,63.0,126.0
MSNU2006950,20,DV,2024-07-19,2024-08-05,17,63.0,126.0
MSMU4420060,40,DV,2024-07-12,2024-07-23,11,39.6,144.0
BMOU2605862,20,DV,2024-07-09,2024-07-18,9,25.0,54.0
MSMU4469667,40,HC,2024-07-09,2024-07-10,1,0.0,0.0
BMOU4686225,40,HC,2024-07-09,2024-07-10,1,0.0,0.0
MSMU5763887,40,HC,2024-07-09,2024-07-10,1,0.0,0.0
MSMU5257343,40,HC,2024-07-09,2024-07-10,1,0.0,0.0
FDCU0305587a,40,HC,2024-07-02,2024-07-05,3,11.4,36.0
MSDU4092366,40,DV,2024-07-03,2024-07-06,3,0.0,0.0
TIIU4795960,40,HC,2024-07-04,2024-07-06,2,0.0,0.0
MSMU6411561,40,HC,2024-07-04,2024-07-06,2,0.0,0.0
TXGU6503401,40,HC,2024-07-11,2024-07-15,4,0.0,18.0
MSDU4712148,40,DV,2024-07-12,2024-07-15,3,24.0,0.0
MSMU4717017,40,HC,2024-07-04,2024-07-08,4,24.0,76.0
MEDU2138645,20,DV,2024-07-12,2024-07-22,10,102.0,135.0
TGBU9791593,40,HC,2024-07-03,2024-07-06,3,0.0,0.0
TCLU7758407,40,HC,2024-07-04,2024-07-06,2,0.0,0.0
MEDU2474193,20,DV,2024-07-04,2024-07-05,1,0.0,0.0
MSDU8800714,40,HC,2024-07-19,2024-07-22,3,0.0,0.0
TRHU7801588,40,HC,2024-07-02,2024-07-18,16,0.0,0.0
MSMU8836502,40,HC,2024-07-02,2024-07-18,16,0.0,0.0
MSMU4557032,40,HC,2024-07-02,2024-07-18,16,0.0,0.0
MSNU7315360,40,HC,2024-07-03,2024-07-18,15,0.0,0.0
MSBU5086972,40,HC,2024-07-04,2024-07-18,14,0.0,0.0
MSMU6114440,40,HC,2024-07-05,2024-07-18,13,0.0,0.0
MSDU7277825,40,HC,2024-07-09,2024-07-13,4,0.0,0.0
MEDU4402274,40,HC,2024-07-10,2024-07-11,1,0.0,0.0
MSMU5167430,40,HC,2024-07-04,2024-07-09,5,3.3,36.0
TIIU4541348,40,HC,2024-07-05,2024-07-09,4,0.0,0.0
MSMU6134050,40,HC,2024-07-05,2024-07-17,12,80.0,144.0
TEMU8627219,40,HC,2024-07-05,2024-07-17,12,80.0,144.0
MSCU5190764,40,HC,2024-07-10,2024-07-14,4,0.0,0.0
TCLU5282498,40,HC,2024-07-10,2024-07-14,4,0.0,0.0
BEAU5842457,40,HC,2024-07-10,2024-07-14,4,0.0,0.0
INKU6660894,40,HC,2024-07-10,2024-07-14,4,0.0,0.0
MEDU6884489,20,DV,2024-07-08,2024-07-08,0,0.0,0.0
MEDU7654618,40,HC,2024-07-08,2024-07-17,9,50.0,70.0
MSMU8175589,40,HC,2024-07-08,2024-07-17,9,50.0,70.0
MSNU7902814,40,HC,2024-07-08,2024-07-17,9,50.0,70.0
TCNU2378839,40,HC,2024-07-08,2024-07-17,9,50.0,70.0
CAXU6767605,20,DV,2024-07-15,2024-07-18,3,0.0,0.0
MEDU5320381,20,DV,2024-07-15,2024-07-18,3,0.0,0.0
MEDU5062667,20,DV,2024-07-15,2024-07-18,3,0.0,0.0
MSDU5094050,40,HC,2024-07-17,2024-07-22,5,60.0,54.0
TGBU4591735,40,HC,2024-07-05,2024-07-08,3,0.0,0.0
TGHU6722991,40,HC,2024-07-05,2024-07-08,3,0.0,0.0
FDCU0064366,40,HC,2024-07-05,2024-07-08,3,0.0,0.0
MEDU1378282,20,DV,2024-07-12,2024-07-18,6,13.5,27.0
FCIU3379599,20,DV,2024-07-19,2024-07-22,3,15.0,63.0
MSMU2250520,20,DV,2024-07-19,2024-07-22,3,15.0,63.0
IKSU2716157,20,DV,2024-07-19,2024-07-22,3,15.0,63.0
MSMU5940977,40,HC,2024-07-09,2024-07-11,2,0.0,0.0
MSBU5107925,40,HC,2024-07-09,2024-07-11,2,0.0,0.0
MSMU4977159,40,HC,2024-07-09,2024-07-11,2,0.0,0.0
UETU5602595 ,40,HC,2024-07-09,2024-07-11,2,0.0,0.0
MSDU6516674,40,HC,2024-07-09,2024-07-11,2,0.0,0.0
MSDU5786720,40,HC,2024-07-09,2024-07-11,2,0.0,0.0
FFAU2022640,40,HC,2024-07-04,2024-07-18,14,0.0,0.0
MSDU6265901,40,HC,2024-07-19,2024-07-20,1,11.4,36.0
MSDU5635215,40,DV,2024-07-12,2024-07-12,0,0.0,0.0
TRHU5025248,40,DV,2024-07-12,2024-07-12,0,0.0,0.0
TLLU8648845,40,DV,2024-07-12,2024-07-12,0,0.0,0.0
MEDU8864856,40,DV,2024-07-12,2024-07-12,0,0.0,0.0
MSMU7550601,40,DV,2024-07-12,2024-07-12,0,0.0,0.0
TCLU7720865,40,HC,2024-07-11,2024-07-17,6,20.0,36.0
CLHU9031895,40,HC,2024-07-11,2024-07-14,3,0.0,0.0
MSDU8115921,40,HC,2024-07-15,2024-07-15,0,0.0,0.0
FFAU2232190,40,HC,2024-07-15,2024-07-15,0,0.0,0.0
MSMU7952771,40,HC,2024-07-15,2024-07-15,0,0.0,0.0
MSMU6873111,40,HC,2024-07-12,2024-07-14,2,0.0,0.0
FSCU6536005,40,HC,2024-07-05,2024-07-13,8,19.8,90.0
MSMU4211950,40,HC,2024-07-12,2024-07-14,2,0.0,0.0
BMOU4051820,40,HC,2024-07-12,2024-07-14,2,0.0,0.0
MSDU7088400,40,HC,2024-07-21,2024-07-22,1,0.0,0.0
MSMU8627333,40,HC,2024-07-21,2024-07-22,1,0.0,0.0
MSMU8971380.,40,HC,2024-07-21,2024-07-22,1,0.0,0.0
GESU5211839.,40,HC,2024-07-21,2024-07-22,1,0.0,0.0
MSMU6954086,40,HC,2024-07-21,2024-07-22,1,0.0,0.0
MSDU7596186,40,HC,2024-07-10,2024-07-10,0,7.0,0.0
MSMU4869370,40,HC,2024-07-10,2024-07-10,0,7.0,0.0
BMOU3083931,40,DV,2024-07-09,2024-07-09,0,0.0,0.0
MSMU5978458,40,HC,2024-07-05,2024-07-13,8,19.8,90.0
MSDU7876280,40,HC,2024-07-02,2024-07-06,4,13.2,72.0
MSMU8920573,40,HC,2024-06-28,2024-07-01,3,24.0,0.0
MSCU7930772,40,HC,2024-07-25,2024-07-30,5,60.0,90.0
TRHU1320306,20,DV,2024-07-22,2024-07-24,2,0.0,0.0
FCIU4454608,20,DV,2024-07-22,2024-07-24,2,0.0,0.0
TCNU8907267,40,HC,2024-07-11,2024-07-12,1,0.0,0.0
FSCU8135207,40,HC,2024-07-11,2024-07-12,1,0.0,0.0
FFAU2570094,40,HC,2024-07-11,2024-07-12,1,0.0,0.0
MSNU2482940,20,DV,2024-07-26,2024-08-06,11,45.0,72.0
MSMU2693549,20,DV,2024-07-26,2024-08-06,11,45.0,72.0
MSDU4702957,40,DV,2024-07-05,2024-07-13,8,80.0,236.0
TCKU3677357,20,DV,2024-07-02,2024-07-04,2,0.0,0.0
CAIU6434855,20,DV,2024-07-02,2024-07-04,2,0.0,0.0
SEGU2963734,20,DV,2024-07-02,2024-07-04,2,0.0,0.0
MEDU1293821,20,DV,2024-08-23,2024-08-26,3,12.0,0.0
BMOU2620580,20,DV,2024-07-22,2024-07-29,7,0.0,0.0
MSDU2445438,20,DV,2024-07-22,2024-07-29,7,0.0,0.0
MEDU6466365,20,DV,2024-07-22,2024-07-29,7,0.0,0.0
MSDU2685315,20,DV,2024-07-22,2024-07-29,7,0.0,0.0
MSMU1274830,20,DV,2024-07-22,2024-07-29,7,0.0,0.0
MSMU1988381,20,DV,2024-07-22,2024-07-29,7,0.0,0.0
